timeTaken,*****,accuracy,recall,precision,f_beta_score,specificity,tp,fn,fp,tn
1,432,830,782,896,835,889,43,12,5,40
1,707,830,820,837,828,840,41,9,8,42
2,711,820,792,826,809,846,38,10,8,44
3,836,900,882,918,900,918,45,6,4,45
4,680,910,922,904,913,898,47,4,5,44
5,676,850,837,854,845,863,41,8,7,44
6,650,880,840,913,875,920,42,8,4,46
7,658,890,865,918,891,917,45,7,4,44
8,646,840,778,913,840,913,42,12,4,42
9,644,840,849,849,849,830,45,8,8,39
10,647,890,868,920,893,915,46,7,4,43
11,655,910,878,935,905,941,43,6,3,48
12,650,870,896,843,869,846,43,5,8,44
13,655,820,788,854,820,854,41,11,7,41
14,667,840,849,849,849,830,45,8,8,39
15,631,870,849,900,874,894,45,8,5,42
16,634,810,804,849,826,818,45,11,8,36
17,621,860,824,894,857,898,42,9,5,44
18,624,820,782,878,827,867,43,12,6,39
19,620,890,882,900,891,898,45,6,5,44
20,621,850,882,833,857,816,45,6,9,40
21,616,870,830,917,871,915,44,9,4,43
22,632,900,868,939,902,936,46,7,3,44
23,620,780,727,851,784,844,40,15,7,38
24,617,880,852,920,885,913,46,8,4,42
25,654,890,843,935,887,939,43,8,3,46
26,661,900,857,933,894,941,42,7,3,48
27,618,860,808,913,857,917,42,10,4,44
28,618,840,808,875,840,875,42,10,6,42
29,617,860,902,836,868,816,46,5,9,40
30,624,840,815,880,846,870,44,10,6,40
31,621,860,865,865,865,854,45,7,7,41
32,618,850,846,863,854,854,44,8,7,41
33,621,880,833,938,882,935,45,9,3,43
34,613,790,755,833,792,830,40,13,8,39
35,619,820,769,870,816,875,40,12,6,42
36,617,870,855,904,879,889,47,8,5,40
37,612,910,865,957,909,958,45,7,2,46
38,614,860,815,917,863,913,44,10,4,42
39,640,850,868,852,860,830,46,7,8,39
40,618,880,960,828,889,800,48,2,10,40
41,619,820,750,913,824,909,42,14,4,40
42,609,870,800,957,871,956,44,11,2,43
43,614,870,843,896,869,898,43,8,5,44
44,605,890,863,917,889,918,44,7,4,45
45,617,900,878,915,896,922,43,6,4,47
46,619,890,898,880,889,882,44,5,6,45
47,619,810,759,872,812,870,41,13,6,40
48,609,840,896,796,843,788,43,5,11,41
49,621,880,900,865,882,860,45,5,7,43
50,614,850,833,882,857,870,45,9,6,40
51,611,810,824,808,816,796,42,9,10,39
52,632,890,868,920,893,915,46,7,4,43
53,625,860,868,868,868,851,46,7,7,40
54,617,890,820,953,882,960,41,9,2,48
55,607,860,796,935,860,935,43,11,3,43
56,617,850,778,933,848,935,42,12,3,43
57,610,800,851,755,800,755,40,7,13,40
58,605,800,800,800,800,800,40,10,10,40
59,605,840,830,863,846,851,44,9,7,40
60,602,790,774,820,796,809,41,12,9,38
61,605,900,882,918,900,918,45,6,4,45
62,612,850,820,872,845,880,41,9,6,44
63,609,890,852,939,893,935,46,8,3,43
64,619,860,792,933,857,936,42,11,3,44
65,604,870,865,882,874,875,45,7,6,42
66,605,910,885,939,911,938,46,6,3,45
67,603,890,836,958,893,956,46,9,2,43
68,602,900,902,902,902,898,46,5,5,44
69,601,870,827,915,869,917,43,9,4,44
70,604,870,860,878,869,880,43,7,6,44
71,613,900,865,938,900,938,45,7,3,45
72,603,890,904,887,895,875,47,5,6,42
73,605,890,860,915,887,920,43,7,4,46
74,598,880,849,918,882,915,45,8,4,43
75,611,810,792,840,816,830,42,11,8,39
76,611,810,820,804,812,800,41,9,10,40
